"GeneName" "ImmunePathway"
"614" "ACKR4" "Antimicrobials"
"615" "CCR10" "Antimicrobials"
"616" "CCL2" "Antimicrobials"
"617" "CCL21" "Antimicrobials"
"618" "CCL7" "Antimicrobials"
"619" "CCL5" "Antimicrobials"
"620" "CCL3" "Antimicrobials"
"621" "CCL20" "Antimicrobials"
"622" "CCL11" "Antimicrobials"
"623" "CCR5" "Antimicrobials"
"624" "CCL23" "Antimicrobials"
"625" "CCL25" "Antimicrobials"
"626" "CCL1" "Antimicrobials"
"627" "CCL3L3" "Antimicrobials"
"628" "CCL4L2" "Antimicrobials"
"629" "CXCL12" "Antimicrobials"
"630" "XCL1" "Antimicrobials"
"631" "CCL8" "Antimicrobials"
"632" "CCL3L1" "Antimicrobials"
"633" "CCR1" "Antimicrobials"
"634" "CCL24" "Antimicrobials"
"635" "XCL2" "Antimicrobials"
"636" "CXCL1" "Antimicrobials"
"637" "CXCL10" "Antimicrobials"
"638" "CXCR4" "Antimicrobials"
"639" "CXCL2" "Antimicrobials"
"640" "CXCR6" "Antimicrobials"
"641" "CCR4" "Antimicrobials"
"642" "CXCL11" "Antimicrobials"
"643" "TAFA5" "Antimicrobials"
"644" "TAFA3" "Antimicrobials"
